compsci 10,67,0,165,4,0.406060606
compsci 61a,595,120,1100,4,0.65
compsci 61b,942,216,1690,4,0.685207101
compsci 61c,449,104,505,4,1.095049505
compsci 70,611,97,820,4,0.863414634
compsci 88,212,2,227,3,0.942731278
compsci 152,60,26,85,4,1.011764706
compsci 160,85,98,95,4,1.926315789
compsci 161,124,26,450,4,0.333333333
compsci 162,310,176,310,4,1.567741935
compsci 169a,185,48,315,3,0.73968254
compsci 170,317,372,643,4,1.071539658
compsci 172,60,22,60,4,1.366666667
compsci 174,38,1,45,4,0.866666667
compsci 182,356,121,426,4,1.11971831
compsci 184,216,172,271,4,1.431734317
compsci 186,355,123,459,4,1.041394336
compsci 188,437,352,716,4,1.101955307
compsci 189,390,517,645,4,1.40620155
compsci 195,116,46,250,1,0.648
eecs 16a,384,25,700,4,0.584285714
eecs 16b,570,450,1020,4,1
eecs 106a,112,15,125,4,1.016
eecs 106b,18,18,45,4,0.8
eecs 126,249,8,250,4,1.028
eecs 127,184,53,270,4,0.877777778
eecs 149,54,1,70,4,0.785714286
eecs 151,30,10,30,3,1.333333333
ee 105,39,0,37,4,1.054054054
ee 113,11,0,30,4,0.366666667
ee 117,12,0,25,4,0.48
ee 118,17,0,20,4,0.85
ee 120,100,5,98,4,1.071428571
ee 122,9,0,30,4,0.3
ee 123,59,1,60,4,1
ee 128,17,1,25,4,0.72
ee 130,21,0,25,4,0.84
ee 134,23,0,40,4,0.575
ee 137a,25,0,50,4,0.5
ee 137b,26,0,36,4,0.722222222
ee 142,8,0,20,4,0.4
ee 143,16,0,36,4,0.444444444
ee 145b,3,0,20,4,0.15
ee 147,13,0,30,3,0.433333333
