courseName, p1Enroll, p1Wl, enrollCap, unit, percent, a, b, c, d, e, f
compsci 160,85,98,95,4,1.926315789,,91,117,90,2.311111111,2.11871345
compsci 162,310,176,310,4,1.567741935,,410,112,410,1.273170732,1.420456334
compsci 184,216,172,271,4,1.431734317,,216,156,271,1.372693727,1.402214022
compsci 189,390,517,645,4,1.40620155,,567,304,645,1.350387597,1.378294574
compsci 172,60,22,60,4,1.366666667,,60,20,60,1.333333333,1.35
eecs 106a,115,38,115,4,1.330434783,,115,42,115,1.365217391,1.347826087
data 144,182,79,192,3,1.359375,,260,89,271,1.287822878,1.323598939
ugba 106,213,108,245,3,1.310204082,,224,101,245,1.326530612,1.318367347
eecs 149,55,16,55,4,1.290909091,,55,19,55,1.345454545,1.318181818
anthro r5b,68,24,68,4,1.352941176,rc,68,19,68,1.279411765,1.316176471
asamst r2b,17,5,17,4,1.294117647,rc,17,5,17,1.294117647,1.294117647
ugba 88,62,12,62,2,1.193548387,,62,22,62,1.35483871,1.274193549
ugba 102a,260,67,260,3,1.257692308,,260,71,260,1.273076923,1.265384616
data c102,215,84,250,4,1.196,,250,70,250,1.28,1.238
natamst r1b,17,5,17,4,1.294117647,rc,17,3,17,1.176470588,1.235294118
ugba 104,206,120,280,3,1.164285714,,237,118,280,1.267857143,1.216071429
ugba 100,219,48,220,2,1.213636364,,218,46,220,1.2,1.206818182
english r1a,136,29,136,4,1.213235294,rc,136,26,136,1.191176471,1.202205883
data c8,1341,248,1350,4,1.177037037,,1422,340,1440,1.223611111,1.200324074
compsci 61c,449,104,505,4,1.095049505,,467,190,505,1.300990099,1.198019802
ee 120,100,5,98,4,1.071428571,,100,29,98,1.316326531,1.193877551
data 140,300,92,335,4,1.170149254,,330,69,335,1.191044776,1.180597015
french r1b,34,6,34,4,1.176470588,rc,34,6,34,1.176470588,1.176470588
compsci 188,437,352,716,4,1.101955307,,715,175,716,1.24301676,1.172486034
ce 11,32,27,50,3,1.18,,47,11,50,1.16,1.17
compsci 186,355,123,459,4,1.041394336,,459,133,459,1.289760349,1.165577343
german r5b,68,12,69,4,1.15942029,rc,68,12,69,1.15942029,1.15942029
chicano r1b,17,5,19,4,1.157894737,rc,17,5,19,1.157894737,1.157894737
compsci 170,317,372,643,4,1.071539658,,623,171,643,1.234836703,1.153188181
theater r1b,180,32,180,4,1.177777778,rc,180,23,180,1.127777778,1.152777778
eecs 16b,570,450,1020,4,1,,1088,238,1020,1.3,1.15
italian r5a,34,4,34,4,1.117647059,rc,34,6,34,1.176470588,1.147058824
italian r5b,34,4,34,4,1.117647059,rc,34,5,34,1.147058824,1.132352942
scandin r5b,34,6,34,4,1.176470588,rc,34,3,34,1.088235294,1.132352941
compsci 182,356,121,426,4,1.11971831,,356,127,426,1.133802817,1.126760564
legalst r1b,34,6,40,4,1,rc,40,10,40,1.25,1.125
slavic r5b,85,12,85,4,1.141176471,rc,85,9,85,1.105882353,1.123529412
data 104,200,38,204,4,1.166666667,,425,87,475,1.077894737,1.122280702
africam r1b,36,5,37,4,1.108108108,rc,37,5,37,1.135135135,1.121621622
ee 105,39,0,37,4,1.054054054,,40,4,37,1.189189189,1.121621622
scandin r5a,34,5,34,4,1.147058824,rc,34,3,34,1.088235294,1.117647059
slavic r5a,34,4,34,4,1.117647059,rc,34,4,34,1.117647059,1.117647059
ugba 105,210,85,282,3,1.046099291,,233,100,282,1.180851064,1.113475178
ugba 10,594,189,700,3,1.118571429,,631,144,700,1.107142857,1.112857143
eecs 151,30,10,30,3,1.333333333,,80,9,100,0.89,1.111666667
eecs 126,249,8,250,4,1.028,,250,47,250,1.188,1.108
film r1b,68,8,68,4,1.117647059,rc,68,6,68,1.088235294,1.102941177
com lit r1a,153,48,193,4,1.041450777,rc,188,34,193,1.150259067,1.095854922
sociol r1b,16,0,17,4,0.941176471,rc,16,5,17,1.235294118,1.088235295
spanish r1b,17,2,17,4,1.117647059,rc,17,1,17,1.058823529,1.088235294
colwrit r4b,282,26,306,4,1.006535948,rc,306,49,306,1.160130719,1.083333334
compsci 152,60,26,85,4,1.011764706,,60,36,85,1.129411765,1.070588236
econ 100b,492,29,500,4,1.042,,498,40,500,1.076,1.059
english r1b,276,29,323,4,0.944272446,rc,323,52,323,1.160990712,1.052631579
colwrit r4a,51,14,68,4,0.955882353,rc,67,11,68,1.147058824,1.051470589
econ 100a,494,26,510,4,1.019607843,,501,51,510,1.082352941,1.050980392
data c100,763,250,1027,4,0.986368062,,1000,143,1027,1.112950341,1.049659202
ugba 107,175,42,240,3,0.904166667,,223,63,240,1.191666667,1.047916667
celtic r1b,34,4,36,4,1.055555556,rc,34,3,36,1.027777778,1.041666667
sasian r5b,49,0,49,4,1,rc,50,3,49,1.081632653,1.040816327
ea lang r1b,47,7,52,4,1.038461538,rc,52,2,52,1.038461538,1.038461538
mse 45,150,8,160,3,0.9875,,160,14,160,1.0875,1.0375
compsci 174,38,1,45,4,0.866666667,,45,9,45,1.2,1.033333334
ieor 172,27,30,60,4,0.95,,37,30,60,1.116666667,1.033333334
chem 3al,460,116,566,2,1.017667845,,531,62,566,1.04770318,1.032685513
ugba 135,595,20,658,2,0.934650456,,658,69,658,1.104863222,1.019756839
rhetor r1a,119,24,136,4,1.051470588,rc,119,12,136,0.963235294,1.007352941
rhetor r1b,125,3,136,4,0.941176471,rc,136,9,136,1.066176471,1.003676471
ee 118,16,1,16,4,1.0625,,15,0,16,0.9375,1
chem 1b,116,5,124,4,0.975806452,,117,8,124,1.008064516,0.991935484
film r1a,68,18,85,4,1.011764706,rc,68,14,85,0.964705882,0.988235294
bio 1b,644,14,672,4,0.979166667,,647,22,672,0.995535714,0.987351191
ugba 101a,183,43,256,3,0.8828125,,203,74,256,1.08203125,0.982421875
chem 1a,1083,434,1570,4,0.966242038,,1428,126,1570,0.989808917,0.978025478
stat 134,244,5,300,4,0.83,,300,36,300,1.12,0.975
bioe 10,272,16,330,4,0.872727273,,330,23,330,1.06969697,0.971212122
env des r3b,9,5,16,4,0.875,rc,12,5,16,1.0625,0.96875
theater r1a,72,15,90,4,0.966666667,rc,72,15,90,0.966666667,0.966666667
ee 113,9,0,12,4,0.75,,14,0,12,1.166666667,0.958333334
ee 123,59,1,60,4,1,,55,0,60,0.916666667,0.958333334
physics 7a,341,60,432,4,0.928240741,,403,16,432,0.969907407,0.949074074
chem 1al,990,217,1300,2,0.928461538,,1134,113,1300,0.959230769,0.943846154
compsci 70,611,97,820,4,0.863414634,,820,17,820,1.020731707,0.942073171
ce 100,105,5,120,4,0.916666667,,115,1,120,0.966666667,0.941666667
linguis r1b,34,3,40,4,0.925,rc,34,4,40,0.95,0.9375
mse 45l,139,19,172,1,0.918604651,,156,8,172,0.953488372,0.936046512
bioe 11,169,0,200,3,0.845,,200,3,200,1.015,0.93
physics 7b,500,57,624,4,0.892628205,,570,27,624,0.956730769,0.924679487
math 1b,971,0,1106,4,0.877938517,,1031,37,1106,0.965641953,0.921790235
com lit r1b,213,2,278,4,0.773381295,rc,272,24,278,1.064748201,0.919064748
compsci 88,212,2,277,3,0.772563177,,277,12,277,1.0433213,0.907942239
ugba 101b,163,65,265,3,0.860377358,,211,40,265,0.947169811,0.903773585
compsci 169a,185,48,315,3,0.73968254,,314,22,315,1.066666667,0.903174604
engin 7,303,32,400,4,0.8375,,385,1,400,0.965,0.90125
math 1a,1095,0,1397,4,0.783822477,,1292,96,1397,0.993557623,0.88869005
ce 70,67,2,84,3,0.821428571,,80,0,84,0.952380952,0.886904762
ee 137b,26,0,36,4,0.722222222,,32,4,36,1,0.861111111
math 53,825,0,1008,4,0.818452381,,911,0,1008,0.903769841,0.861111111
ee 130,21,0,25,4,0.84,,22,0,25,0.88,0.86
ce 60,63,4,84,3,0.797619048,,75,2,84,0.916666667,0.857142858
histart r1b,95,5,136,4,0.735294118,rc,114,18,136,0.970588235,0.852941177
math 110,258,9,358,4,0.745810056,,330,11,358,0.952513966,0.849162011
math 54,841,0,1089,4,0.772268136,,940,46,1089,0.905417815,0.838842976
colwrit r1a,191,4,279,4,0.698924731,rc,271,2,279,0.978494624,0.838709678
eecs 127,184,0,255,4,0.721568627,,240,1,255,0.945098039,0.833333333
compsci 61b,942,216,1690,4,0.685207101,,1615,21,1690,0.968047337,0.826627219
history r1b,21,0,34,4,0.617647059,rc,34,1,34,1.029411765,0.823529412
engin 40,66,0,86,4,0.76744186,,75,0,86,0.872093023,0.819767442
ugba 103,125,72,282,4,0.69858156,,157,108,282,0.939716312,0.819148936
compsci 61a,595,120,1100,4,0.65,,845,220,1100,0.968181818,0.809090909
math 104,207,21,310,4,0.735483871,,247,16,310,0.848387097,0.791935484
eecs 106b,18,18,45,4,0.8,,18,17,45,0.777777778,0.788888889
compsci 161,124,26,450,4,0.333333333,,450,105,450,1.233333333,0.783333333
me c85,112,22,178,3,0.752808989,,124,19,178,0.803370787,0.778089888
math 105,27,0,37,4,0.72972973,,30,0,37,0.810810811,0.770270271
me 40,95,1,135,3,0.711111111,,109,1,135,0.814814815,0.762962963
ee 128,17,1,25,4,0.72,,19,1,25,0.8,0.76
compsci 195,116,46,250,1,0.648,,208,7,250,0.86,0.754
bioe 26,191,0,305,1,0.626229508,,265,1,305,0.872131148,0.749180328
ugba 102b,117,21,193,3,0.715025907,,130,20,193,0.777202073,0.74611399
ee 137a,31,0,45,4,0.688888889,,35,0,45,0.777777778,0.733333334
chem 3a,550,0,827,3,0.665054414,,605,1,827,0.732769045,0.69891173
seasian r5b,17,3,68,4,0.294117647,rc,68,4,68,1.058823529,0.676470588
ce 93,48,1,84,3,0.583333333,,64,0,84,0.761904762,0.672619048
music r1b,34,11,68,4,0.661764706,rc,34,10,68,0.647058824,0.654411765
eecs 16a,384,25,700,4,0.584285714,,476,17,700,0.704285714,0.644285714
bioe 25,145,0,275,1,0.527272727,,208,0,275,0.756363636,0.641818182
ee 134,23,0,40,4,0.575,,28,0,40,0.7,0.6375
ee 117,12,0,25,4,0.48,,18,0,25,0.72,0.6
compsci 10,67,0,165,4,0.406060606,,122,7,165,0.781818182,0.593939394
nusctx 10,205,0,744,3,0.275537634,,643,19,744,0.889784946,0.58266129
math 128a,117,0,265,4,0.441509434,,187,0,265,0.705660377,0.573584906
ee 142,8,0,20,4,0.4,,13,0,20,0.65,0.525
ee 143,16,0,36,4,0.444444444,,20,0,36,0.555555556,0.5
chem 4b,197,46,527,5,0.461100569,,201,42,527,0.461100569,0.461100569
ee 122,9,0,30,4,0.3,,12,0,30,0.4,0.35
ee 147,5,0,20,3,0.25,,9,0,20,0.45,0.35
ee 145b,3,0,20,4,0.15,,9,0,17,0.529411765,0.339705883
astron c10,158,0,999,4,0.158158158,,471,6,999,0.477477477,0.317817818
